first,last,birth,death,gender,id,mother,father
Rosalind Cecilia Caroline,Bingham,1869,1958,F,@I385@,@I389@,@I388@
James,Hamilton,1838,1913,M,@I386@,@I787@,@I788@
Mary Anna,Curzon-Howe,1848,1929,F,@I387@,@I786@,@I785@
George,Bingham,1830,1914,M,@I388@,@I790@,@I789@
Cecilia Catherine,Gordon-Lennox,1838,1910,F,@I389@,@I791@,@I792@
William Smith,Gill,1865,1957,M,@I390@,@I393@,@I392@
Ruth,Littlejohn,1879,1964,F,@I391@,@I395@,@I394@
Alexander Ogston,Gill,1833,1908,M,@I392@,@I794@,@I793@
Barbara Smith,Marr,1843,-1,F,@I393@,@I796@,@I795@
David,Littlejohn,1841,1924,M,@I394@,@I798@,@I797@
Jane,Crombie,1843,1917,F,@I395@,@I800@,@I799@
Charles Robert,Spencer,1857,1922,M,@I396@,@I399@,@I398@
Margaret,Baring,1868,1906,F,@I397@,@I401@,@I400@
Frederick,Spencer,1798,1857,M,@I398@,@I782@,@I781@
Adelaide Horatia Elizabeth,Seymour,1825,1877,F,@I399@,@I780@,@I779@
Edward Charles,Baring,1828,1897,M,@I400@,@I784@,@I783@
Louisa Emily Charlotte,Bulteel,1839,1892,F,@I401@,@I778@,@I777@
Augusta of_Schleswig- Holstein-,,1858,1921,F,@I402@
Bernard of_Saxe- Meiningen,,1851,1928,M,@I403@
Adolphus of_Schaumburg- Lippe,,1859,1916,M,@I404@
Constantine_I,Oldenburg,1868,1923,M,@I405@,@I228@,@I227@
Frederick Charles of_Hesse,,1868,1940,M,@I406@
Victoria of_Schleswig- Holstein,,-1,-1,F,@I407@
Irene,Denison,1890,1956,F,@I408@,@I2161@
